frame,cx,cy,x,y,w,h,area,detected
586,734,248,726,244,15,10,83,1
587,707,187,679,145,65,68,1448,1
587,752,229,743,225,19,9,119,1
587,734,248,726,244,15,10,83,1
588,707,187,679,145,65,68,1448,1
588,752,229,743,225,19,9,119,1
588,734,248,726,244,15,10,83,1
589,730,202,718,191,26,22,421,1
589,752,229,743,225,19,9,119,1
589,734,248,726,244,15,10,83,1
590,752,229,743,225,19,9,119,1
590,734,248,726,244,15,10,83,1
591,751,230,743,227,19,7,100,1
591,734,248,726,244,15,10,83,1
592,734,248,726,244,15,10,83,1
610,696,239,672,220,46,38,1254,1
611,696,239,672,220,46,38,1254,1
611,736,285,719,274,38,25,531,1
612,696,239,672,220,46,38,1254,1
612,738,286,719,274,43,31,603,1
613,696,239,672,220,46,38,1254,1
613,738,286,719,274,43,31,603,1
614,696,239,672,220,46,38,1254,1
614,738,286,719,274,43,31,603,1
615,696,239,672,220,46,38,1254,1
615,738,286,719,274,43,31,603,1
616,696,239,672,220,46,38,1254,1
616,738,286,719,274,43,31,603,1
617,766,110,729,106,75,8,425,1
617,738,286,719,274,43,31,603,1
618,766,112,729,106,75,13,673,1
618,751,290,743,281,19,23,175,1
619,766,114,729,106,75,17,923,1
620,766,115,729,106,78,20,1039,1
621,766,115,729,108,78,18,970,1
622,766,115,729,108,78,18,970,1
623,766,115,729,108,78,18,970,1
624,766,119,722,114,91,12,693,1
624,774,272,744,248,52,52,1353,1
625,764,118,722,113,91,13,736,1
625,774,272,744,248,52,52,1353,1
626,762,116,721,108,92,18,1093,1
626,774,272,744,248,52,52,1353,1
627,505,111,501,103,10,20,121,1
627,761,113,719,103,94,21,1401,1
627,469,119,467,107,7,25,114,1
627,377,117,373,111,10,15,101,1
627,774,272,744,248,52,52,1353,1
627,792,292,784,285,15,13,116,1
628,762,110,719,98,94,26,1765,1
628,505,111,501,103,10,20,121,1
628,469,119,467,107,7,25,114,1
628,377,117,373,111,10,15,101,1
628,774,272,744,248,52,52,1353,1
628,792,292,784,285,15,13,116,1
629,761,108,719,95,94,29,2032,1
629,505,111,501,103,10,20,121,1
629,469,119,467,107,7,25,114,1
629,377,117,373,111,10,15,101,1
629,774,272,744,248,52,52,1353,1
629,792,292,784,285,15,13,116,1
